Ref,Val,Package,PosX,PosY,Rot,Side
"U601","LMR36506-Q1","LMR36506MSC5RPERQ1",1.575000,23.237000,0.000000,bottom
"U602","LMR36506-Q1","LMR36506MSC5RPERQ1",36.262000,17.675000,-90.000000,bottom
"U603","TPS62172","SON50P200X200X80-9N",-5.500000,10.700000,-90.000000,bottom
"U701","LP2992","SOT-23-5",9.750000,7.000000,-90.000000,bottom
"U1601","ASS5047P","SOP65P640X120-14N",18.250000,22.000000,-90.000000,bottom
"U1602","AS5048B","SOP65P640X120-14N",28.200000,18.000000,90.000000,bottom
"C801","1u 16V X7R","C_0603_1608Metric",24.400000,10.400000,-45.000000,top
"C802","4u7 16V X7R","C_0603_1608Metric",24.600000,5.300000,-135.000000,top
"C803","100n 16V X7R","C_0402_1005Metric",5.800000,10.400000,135.000000,top
"C804","100n 16V X7R","C_0402_1005Metric",12.700000,0.700000,135.000000,top
"C805","100n 16V X7R","C_0402_1005Metric",23.260589,6.060589,-135.000000,top
"C806","100n 16V X7R","C_0402_1005Metric",17.700000,16.600000,135.000000,top
"C807","4u7 16V X7R","C_0603_1608Metric",2.400000,14.500000,45.000000,top
"C808","4u7 16V X7R","C_0603_1608Metric",7.548008,14.548008,45.000000,top
"C809","100n 16V X7R","C_0402_1005Metric",8.400000,12.900000,45.000000,top
"C810","4u7 16V X7R","C_0603_1608Metric",5.251992,12.351992,-135.000000,top
"C811","100n 16V X7R","C_0402_1005Metric",6.900000,11.500000,-135.000000,top
"C1001","2u2 100V X7R","C_0805_2012Metric",24.600000,27.350000,45.000000,top
"C1002","100n 100V X7R","C_0603_1608Metric",23.850000,29.050000,45.000000,top
"C1005","1u 100V X7R","C_0805_2012Metric",21.100000,30.050000,135.000000,top
"C1006","100n 100V X7R","C_0603_1608Metric",21.750000,26.750000,-45.000000,top
"C1007","4u7 16V X7R","C_0603_1608Metric",9.200000,22.700000,-45.000000,top
"C1008","100n 16V X7R","C_0402_1005Metric",10.200000,23.600000,-45.000000,top
"C1009","1u 6V3 X5R","C_0402_1005Metric",19.700000,23.200000,-135.000000,top
